,home_team,away_team,home_shots_prop,away_shots_prop,home_corsi_prop,away_corsi_prop,home_fenwick_prop,away_fenwick_prop,home_penalties_prop,away_penalties_prop,home_hits_prop,away_hits_prop,home_takeaways_prop,away_takeaways_prop,game_end
1179,Arizona Coyotes,Calgary Flames,0.352112676056338,0.6338028169014085,0.43902439024390244,0.5528455284552846,0.3917525773195876,0.5979381443298969,0.5,0.25,0.4936708860759494,0.4936708860759494,0.6363636363636364,0.2727272727272727,home win
1180,Vancouver Canucks,Dallas Stars,0.40425531914893614,0.574468085106383,0.41414141414141414,0.5757575757575758,0.36,0.6266666666666667,0.4444444444444444,0.4444444444444444,0.46,0.52,0.42857142857142855,0.42857142857142855,home win
1181,San Jose Sharks,Columbus Blue Jackets,0.3950617283950617,0.5925925925925926,0.4489795918367347,0.54421768707483,0.4375,0.5535714285714286,0.42857142857142855,0.42857142857142855,0.5,0.47368421052631576,0.42857142857142855,0.5,away win
1182,Los Angeles Kings,New York Islanders,0.5606060606060606,0.42424242424242425,0.5952380952380952,0.3968253968253968,0.5957446808510638,0.39361702127659576,0.5,0.375,0.3111111111111111,0.6666666666666666,0.5,0.375,home win
1183,Washington Capitals,Buffalo Sabres,0.5774647887323944,0.4084507042253521,0.49242424242424243,0.5,0.5252525252525253,0.46464646464646464,0.3333333333333333,0.5,0.7317073170731707,0.24390243902439024,0.46153846153846156,0.46153846153846156,home win
1184,Toronto Maple Leafs,Colorado Avalanche,0.37254901960784315,0.6078431372549019,0.4636363636363636,0.5272727272727272,0.3815789473684211,0.6052631578947368,0.5555555555555556,0.3333333333333333,0.4772727272727273,0.5,0.46153846153846156,0.46153846153846156,away win
1185,St. Louis Blues,Minnesota Wild,0.5,0.4861111111111111,0.4954128440366973,0.4954128440366973,0.5054945054945055,0.4835164835164835,0.42857142857142855,0.5,0.5675675675675675,0.40540540540540543,0.4375,0.5,away win
1186,Anaheim Ducks,New York Islanders,0.40350877192982454,0.5789473684210527,0.49019607843137253,0.5,0.4166666666666667,0.5694444444444444,0.25,0.5,0.4666666666666667,0.5,0.5,0.4166666666666667,away win
1187,Ottawa Senators,Colorado Avalanche,0.5373134328358209,0.44776119402985076,0.504,0.488,0.5217391304347826,0.4673913043478261,0.38461538461538464,0.5384615384615384,0.6363636363636364,0.3409090909090909,0.3333333333333333,0.5833333333333334,away win
1188,Florida Panthers,Montréal Canadiens,0.5753424657534246,0.410958904109589,0.5128205128205128,0.47863247863247865,0.5773195876288659,0.41237113402061853,0.125,0.75,0.47058823529411764,0.5098039215686274,0.6666666666666666,0.2222222222222222,home win
1189,New York Rangers,Pittsburgh Penguins,0.5147058823529411,0.47058823529411764,0.496,0.496,0.4946236559139785,0.4946236559139785,0.0,0.6666666666666666,0.47619047619047616,0.5,0.5862068965517241,0.3793103448275862,home win
1190,New Jersey Devils,Tampa Bay Lightning,0.5757575757575758,0.4090909090909091,0.556390977443609,0.43609022556390975,0.5833333333333334,0.40625,0.375,0.5,0.5641025641025641,0.41025641025641024,0.5555555555555556,0.3888888888888889,away win
1191,Winnipeg Jets,Boston Bruins,0.5901639344262295,0.39344262295081966,0.5121951219512195,0.4796747967479675,0.5402298850574713,0.4482758620689655,0.3333333333333333,0.5555555555555556,0.5333333333333333,0.4444444444444444,0.5,0.4,away win
1192,Nashville Predators,Chicago Blackhawks,0.6206896551724138,0.3620689655172414,0.5546218487394958,0.4369747899159664,0.5795454545454546,0.4090909090909091,0.2,0.6,0.5245901639344263,0.45901639344262296,0.25,0.6875,away win
1193,Edmonton Oilers,Dallas Stars,0.5263157894736842,0.45614035087719296,0.5566037735849056,0.4339622641509434,0.5555555555555556,0.43209876543209874,0.375,0.5,0.4909090909090909,0.4909090909090909,0.4666666666666667,0.5,home win
1194,Vegas Golden Knights,Calgary Flames,0.38,0.6,0.39622641509433965,0.5943396226415094,0.36619718309859156,0.6197183098591549,0.3333333333333333,0.5555555555555556,0.3770491803278688,0.6065573770491803,0.45454545454545453,0.45454545454545453,away win
1195,Arizona Coyotes,Vancouver Canucks,0.4576271186440678,0.5254237288135594,0.432,0.56,0.42857142857142855,0.5612244897959183,0.6,0.3,0.5555555555555556,0.4222222222222222,0.5,0.4,home win
1196,Los Angeles Kings,Columbus Blue Jackets,0.5373134328358209,0.44776119402985076,0.4957983193277311,0.4957983193277311,0.5172413793103449,0.47126436781609193,0.3333333333333333,0.5,0.2608695652173913,0.717391304347826,0.6153846153846154,0.3076923076923077,home win
1197,San Jose Sharks,Seattle Kraken,0.49230769230769234,0.49230769230769234,0.43410852713178294,0.5581395348837209,0.4270833333333333,0.5625,0.4444444444444444,0.4444444444444444,0.5384615384615384,0.4358974358974359,0.6470588235294118,0.29411764705882354,away win
1198,Philadelphia Flyers,Buffalo Sabres,0.36065573770491804,0.6229508196721312,0.4247787610619469,0.5663716814159292,0.36904761904761907,0.6190476190476191,0.6363636363636364,0.2727272727272727,0.5294117647058824,0.45098039215686275,0.5,0.42857142857142855,home win
1199,Toronto Maple Leafs,Carolina Hurricanes,0.4067796610169492,0.576271186440678,0.44166666666666665,0.55,0.34831460674157305,0.6404494382022472,0.6,0.2,0.5531914893617021,0.425531914893617,0.5333333333333333,0.4,home win
1200,Washington Capitals,St. Louis Blues,0.5964912280701754,0.38596491228070173,0.5,0.49056603773584906,0.6052631578947368,0.3815789473684211,0.16666666666666666,0.6666666666666666,0.5405405405405406,0.43243243243243246,0.5833333333333334,0.375,away win
1201,Anaheim Ducks,Columbus Blue Jackets,0.4691358024691358,0.5185185185185185,0.5103448275862069,0.4827586206896552,0.4732142857142857,0.5178571428571429,0.5714285714285714,0.2857142857142857,0.37037037037037035,0.5925925925925926,0.2,0.6,home win
