,Unnamed: 0,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x,home_mean_y,away_mean_y,home_penalties,away_penalties,home_hits,away_hits,home_takeaways,away_takeaways
61,61,2022-10-02,2022010063,Chicago Blackhawks,0,Detroit Red Wings,3,20222023,Final,21,35,57,33,28,47,-13.65137614678899,-13.1,-0.7522935779816514,-0.03333333333333333,5,4,21,15,11,16
62,62,2022-10-02,2022010064,Seattle Kraken,4,Vancouver Canucks,0,20222023,Final,26,17,44,50,39,28,12.360824742268042,11.310679611650484,3.4948453608247423,0.23300970873786409,4,5,11,21,4,6
63,63,2022-10-02,2022010065,New York Islanders,2,Philadelphia Flyers,1,20222023,Final,23,25,53,47,33,34,-2.482142857142857,3.4365079365079363,-1.1517857142857142,-2.2301587301587302,7,6,19,20,5,5
64,64,2022-10-02,2022010066,Chicago Blackhawks,0,Minnesota Wild,3,20222023,Final,0,3,3,0,0,3,,,,,0,0,0,0,0,0
65,65,2022-10-03,2022010067,Los Angeles Kings,2,Anaheim Ducks,1,20222023,Final,33,25,47,61,51,35,-7.694214876033058,15.046728971962613,-2.1818181818181817,0.9906542056074766,4,4,17,23,3,2
66,66,2022-10-03,2022010107,SC Bern,3,Nashville Predators,4,20222023,Final,3,4,4,3,3,4,,,,,0,0,0,0,0,0
67,67,2022-10-03,2022010068,New Jersey Devils,1,Boston Bruins,0,20222023,Final,24,24,47,46,40,38,5.389380530973451,-2.5491803278688523,-2.327433628318584,-3.4918032786885247,4,2,18,23,18,7
68,68,2022-10-03,2022010069,Carolina Hurricanes,8,Columbus Blue Jackets,1,20222023,Final,45,26,49,67,58,33,6.897260273972603,15.907563025210084,0.0136986301369863,-3.2436974789915967,3,6,21,23,11,6
69,69,2022-10-03,2022010070,Montréal Canadiens,1,Toronto Maple Leafs,5,20222023,Final,30,31,60,42,38,42,-1.864,8.104477611940299,2.016,0.6343283582089553,4,5,13,24,7,11
70,70,2022-10-03,2022010071,Detroit Red Wings,2,Pittsburgh Penguins,3,20222023,Final,39,24,47,64,53,31,-21.2089552238806,-11.973451327433626,-0.4626865671641791,5.115044247787611,2,2,30,22,7,4
71,71,2022-10-04,2022010072,Dallas Stars,1,Colorado Avalanche,3,20222023,Final,39,30,57,67,57,39,0.2781954887218045,14.289256198347108,-2.8421052631578947,-5.338842975206612,3,5,19,17,4,7
72,72,2022-10-04,2022010073,Calgary Flames,4,Seattle Kraken,1,20222023,Final,25,22,47,44,41,36,-14.237704918032787,-5.711340206185567,2.7950819672131146,-2.1649484536082473,5,2,19,19,9,7
73,73,2022-10-04,2022010074,Edmonton Oilers,7,Vancouver Canucks,2,20222023,Final,36,30,50,54,49,35,3.3472222222222223,4.455284552845528,1.6527777777777777,-2.073170731707317,5,4,22,25,10,6
74,74,2022-10-04,2022010108,Eisbaren Berlin,1,San Jose Sharks,3,20222023,Final,1,3,3,1,1,3,,,,,0,0,0,0,0,0
75,75,2022-10-04,2022010075,Buffalo Sabres,4,Carolina Hurricanes,2,20222023,Final,30,25,44,44,35,32,11.75,0.8021978021978022,-1.2727272727272727,0.8681318681318682,6,2,7,9,7,4
76,76,2022-10-04,2022010076,Philadelphia Flyers,3,New York Islanders,4,20222023,Final,33,33,62,58,41,50,-23.9645390070922,-4.188405797101448,-1.446808510638298,-0.463768115942029,6,3,36,30,7,3
77,77,2022-10-04,2022010077,Montréal Canadiens,4,Ottawa Senators,5,20222023,Final,25,23,42,42,30,30,-0.6666666666666666,-3.992366412213741,1.2252252252252251,-1.8473282442748091,4,7,18,31,12,4
78,78,2022-10-05,2022010078,St. Louis Blues,4,Minnesota Wild,2,20222023,Final,27,28,56,52,43,34,-11.016666666666667,-9.213235294117649,1.1666666666666667,-2.676470588235294,5,6,16,37,7,12
79,79,2022-10-05,2022010079,Vegas Golden Knights,4,Arizona Coyotes,3,20222023,Final,28,53,72,56,42,64,-3.798611111111111,3.4183006535947715,-2.5,1.8366013071895424,4,4,40,29,7,8
80,80,2022-10-05,2022010080,Anaheim Ducks,5,Los Angeles Kings,4,20222023,Final,32,36,57,60,48,44,5.887931034482759,-0.8852459016393442,1.7672413793103448,1.459016393442623,3,5,15,13,5,7
81,81,2022-10-05,2022010081,New York Rangers,4,Boston Bruins,5,20222023,Final,32,26,47,48,41,39,2.452991452991453,11.6,-0.5641025641025641,4.0,2,4,26,27,6,5
82,82,2022-10-05,2022010082,Washington Capitals,4,Detroit Red Wings,2,20222023,Final,35,33,53,53,47,40,-5.227941176470588,9.356521739130434,2.448529411764706,-0.46956521739130436,5,3,31,22,7,5
83,83,2022-10-06,2022010083,Winnipeg Jets,5,Calgary Flames,0,20222023,Final,27,37,62,48,31,51,-7.741379310344827,1.1076923076923078,-2.6206896551724137,-0.2,7,6,26,14,6,4
84,84,2022-10-06,2022010084,Colorado Avalanche,2,Dallas Stars,1,20222023,Final,33,33,52,61,47,42,-10.312056737588652,0.3097345132743363,4.390070921985815,-0.5752212389380531,2,5,31,13,4,8
85,85,2022-10-06,2022010085,Vancouver Canucks,5,Edmonton Oilers,4,20222023,Final,5,4,4,5,5,4,,,,,0,0,0,0,0,0
86,86,2022-10-06,2022010086,Montréal Canadiens,3,Ottawa Senators,4,20222023,Final,3,4,4,3,3,4,,,,,0,0,0,0,0,0
87,87,2022-10-06,2022010087,New York Islanders,5,New Jersey Devils,2,20222023,Final,26,28,56,48,36,37,11.059259259259257,3.4656488549618323,3.1555555555555554,1.8931297709923665,6,3,30,21,7,8
88,88,2022-10-06,2022010089,Florida Panthers,3,Tampa Bay Lightning,2,20222023,Final,41,28,52,59,51,36,-6.433333333333334,-6.68595041322314,-0.9166666666666666,0.9421487603305785,4,5,13,20,7,8
89,89,2022-10-06,2022010088,Columbus Blue Jackets,7,St. Louis Blues,0,20222023,Final,33,24,46,51,45,33,9.297297297297296,-18.632183908045977,0.14414414414414414,0.7241379310344828,3,3,21,9,1,2
90,90,2022-10-07,2022010090,Minnesota Wild,4,Chicago Blackhawks,1,20222023,Final,23,26,41,39,28,35,-15.23,-5.7333333333333325,-0.73,1.2444444444444445,7,3,17,15,6,5
91,91,2022-10-07,2022010091,Los Angeles Kings,4,Vegas Golden Knights,6,20222023,Final,4,6,6,4,4,6,,,,,0,0,0,0,0,0
92,92,2022-10-07,2022020001,Nashville Predators,4,San Jose Sharks,1,20222023,Final,32,31,69,57,46,46,-6.8770491803278695,8.062937062937063,0.45081967213114754,2.1188811188811187,5,5,23,22,4,3
93,93,2022-10-07,2022010092,Pittsburgh Penguins,7,Buffalo Sabres,1,20222023,Final,27,23,46,39,30,32,3.5080645161290325,6.537037037037037,-0.7741935483870968,-3.4074074074074074,0,2,40,19,14,7
94,94,2022-10-07,2022010093,Detroit Red Wings,4,Toronto Maple Leafs,2,20222023,Final,27,23,42,48,40,31,3.507936507936508,-7.030927835051546,-5.809523809523809,-2.247422680412371,2,2,33,27,6,3
95,95,2022-10-08,2022010094,Edmonton Oilers,5,Seattle Kraken,3,20222023,Final,40,33,64,59,52,46,9.447552447552447,-8.055555555555555,4.888111888111888,-1.4761904761904763,2,2,36,24,8,2
96,96,2022-10-08,2022010095,Calgary Flames,3,Winnipeg Jets,5,20222023,Final,38,16,35,52,44,27,-5.198529411764706,6.483516483516484,1.213235294117647,-1.8681318681318682,8,8,25,14,9,4
97,97,2022-10-08,2022010096,Vancouver Canucks,4,Arizona Coyotes,0,20222023,Final,32,7,31,53,47,14,-7.658119658119658,-3.2323232323232323,-2.1538461538461537,-2.3535353535353534,6,15,15,21,6,4
98,98,2022-10-08,2022020002,San Jose Sharks,2,Nashville Predators,3,20222023,Final,33,18,56,60,44,33,17.705882352941178,19.136986301369863,4.448529411764706,-1.6643835616438356,3,4,23,33,6,11
99,99,2022-10-08,2022010106,St. Louis Blues,6,Chicago Blackhawks,0,20222023,Final,25,24,41,39,32,33,-2.350515463917526,-2.3039215686274512,-0.17525773195876287,2.872549019607843,5,4,18,20,6,17
100,100,2022-10-08,2022010098,Los Angeles Kings,6,Anaheim Ducks,3,20222023,Final,36,28,47,59,53,39,-12.447761194029852,17.872549019607845,0.9626865671641791,-0.38235294117647056,4,4,23,25,6,3
101,101,2022-10-08,2022010097,Tampa Bay Lightning,5,Florida Panthers,2,20222023,Final,31,29,40,53,41,35,2.623076923076923,2.19672131147541,-0.18461538461538463,2.0327868852459017,2,4,28,33,11,15
102,102,2022-10-08,2022010100,Minnesota Wild,5,Dallas Stars,1,20222023,Final,28,23,55,47,37,41,-12.801980198019802,2.356521739130435,2.722772277227723,0.5652173913043478,5,7,15,15,6,5
103,103,2022-10-08,2022010099,Ottawa Senators,3,Montréal Canadiens,2,20222023,Final,3,2,2,3,3,2,,,,,0,0,0,0,0,0
104,104,2022-10-08,2022010101,Washington Capitals,4,Columbus Blue Jackets,3,20222023,Final,32,39,72,60,40,53,-2.7355371900826446,1.048951048951049,3.3884297520661155,2.230769230769231,4,4,13,22,6,6
105,105,2022-10-08,2022010102,Toronto Maple Leafs,5,Detroit Red Wings,1,20222023,Final,26,19,45,41,35,28,-4.711864406779661,7.689075630252101,1.8135593220338984,-0.24369747899159663,6,5,31,36,7,5
106,106,2022-10-08,2022010103,Boston Bruins,3,New Jersey Devils,5,20222023,Final,30,27,47,55,45,36,-2.798611111111111,-13.298076923076925,1.7013888888888888,2.9038461538461537,2,2,28,21,3,6
107,107,2022-10-08,2022010104,New York Islanders,3,New York Rangers,1,20222023,Final,16,29,56,32,21,39,-5.330357142857143,-8.921259842519685,-2.1785714285714284,0.7559055118110236,6,6,18,24,5,7
108,108,2022-10-09,2022010105,Vegas Golden Knights,5,Arizona Coyotes,1,20222023,Final,5,1,1,5,5,1,,,,,0,0,0,0,0,0
109,109,2022-10-11,2022020003,New York Rangers,3,Tampa Bay Lightning,1,20222023,Final,39,26,56,61,49,34,-8.64968152866242,5.19327731092437,0.9617834394904459,1.0756302521008403,6,4,24,19,19,8
110,110,2022-10-12,2022020004,Los Angeles Kings,3,Vegas Golden Knights,4,20222023,Final,30,51,72,65,43,59,1.2413793103448276,6.888888888888888,1.710344827586207,-1.4666666666666666,5,3,23,25,7,2
111,111,2022-10-12,2022020005,Washington Capitals,2,Boston Bruins,5,20222023,Final,35,30,58,59,46,38,-5.955128205128204,-9.565517241379313,3.730769230769231,1.3655172413793104,3,4,48,32,7,6
112,112,2022-10-12,2022020006,Carolina Hurricanes,4,Columbus Blue Jackets,1,20222023,Final,43,32,64,83,74,42,-6.031914893617022,6.160839160839161,-3.75,1.7552447552447552,2,2,22,26,18,10
113,113,2022-10-12,2022020007,Montréal Canadiens,4,Toronto Maple Leafs,3,20222023,Final,23,32,55,58,35,40,-0.3381294964028777,0.0873015873015873,-1.0503597122302157,1.4206349206349207,5,4,19,19,8,12
114,114,2022-10-13,2022020008,Colorado Avalanche,5,Chicago Blackhawks,2,20222023,Final,35,17,37,58,46,22,-8.21951219512195,-14.991228070175438,-0.8536585365853658,0.2982456140350877,4,7,32,33,4,4
