,date,game_id,home_team,home_score,away_team,away_score,season,game_state,home_shots,away_shots,away_corsi,home_corsi,home_fenwick,away_fenwick,home_mean_x,away_mean_x
67,2022-10-03,2022010068,New Jersey Devils,1,Boston Bruins,0,20222023,Final,24,24,47,46,40,38,5.389380530973451,-2.5491803278688523
68,2022-10-03,2022010069,Carolina Hurricanes,8,Columbus Blue Jackets,1,20222023,Final,45,26,49,67,58,33,6.897260273972603,15.907563025210084
69,2022-10-03,2022010070,Montréal Canadiens,1,Toronto Maple Leafs,5,20222023,Final,30,31,60,42,38,42,-1.864,8.104477611940299
70,2022-10-03,2022010071,Detroit Red Wings,2,Pittsburgh Penguins,3,20222023,Final,39,24,47,64,53,31,-21.208955223880597,-11.973451327433628
71,2022-10-04,2022010072,Dallas Stars,1,Colorado Avalanche,3,20222023,Final,39,30,57,67,57,39,0.2781954887218045,14.289256198347108
72,2022-10-04,2022010073,Calgary Flames,4,Seattle Kraken,1,20222023,Final,25,22,47,44,41,36,-14.237704918032787,-5.711340206185567
73,2022-10-04,2022010074,Edmonton Oilers,7,Vancouver Canucks,2,20222023,Final,36,30,50,54,49,35,3.3472222222222223,4.455284552845528
74,2022-10-04,2022010108,Eisbaren Berlin,1,San Jose Sharks,3,20222023,Final,1,3,3,1,1,3,,
75,2022-10-04,2022010075,Buffalo Sabres,4,Carolina Hurricanes,2,20222023,Final,30,25,44,44,35,32,11.75,0.8021978021978022
76,2022-10-04,2022010076,Philadelphia Flyers,3,New York Islanders,4,20222023,Final,33,33,62,58,41,50,-23.9645390070922,-4.188405797101449
77,2022-10-04,2022010077,Montréal Canadiens,4,Ottawa Senators,5,20222023,Final,25,23,42,42,30,30,-0.6666666666666666,-3.9923664122137406
78,2022-10-05,2022010078,St. Louis Blues,4,Minnesota Wild,2,20222023,Final,27,28,56,52,43,34,-11.016666666666667,-9.213235294117647
